station_id,category
13000001,gms
13000003,network
13002007,network
13003004,gms
13004005,gms
13005011,network
13005012,network
13005013,gms
13006003,network
13006005,network
13007001,network
13007008,network
13008001,gms
13008004,network
13008008,gms
13008014,network
13008017,gms
13008018,network
13008019,network
13009006,gms
13009008,gms
13009009,network
13009011,gms
13010001,gms
13010005,network
13010011,gms
13011003,network
13011017,gms
13011018,gms
13011019,network
13011022,gms
13011023,network
13011025,network
13011026,gms
13011027,gms
13011028,gms
13012016,gms
13012022,gms
13012024,gms
13012025,network
13012028,gms
13012029,gms
13013002,network
13013003,network
13013011,network
13013012,network
13013014,network
13013016,gms
13013017,gms
13013018,gms
13013019,gms
13014001,gms
13014010,network
13014015,network
13015004,network
13015016,network
13015019,gms
13015020,network
13016007,network
13016008,gms
13090017,gms
13090018,gms
13090020,network
13090021,gms
13100005,network
13100006,network
13100013,gms
13100014,gms
13100015,gms
13100016,network
13100017,gms
13100021,network
13105001,gms
13110003,gms
13110004,network
13110005,network
13112003,gms
13112005,network
13115001,network
13118001,gms
13120001,gms
13120003,gms
13120005,network
13120008,network
13120009,network
13122001,network
13122002,gms
13127006,gms
13127009,network
13127010,network
13127012,network
13127013,gms
13130002,gms
13130005,network
13130006,gms
13140001,gms
13140002,network
13140005,gms
13140010,gms
13150001,gms
13150003,gms
13150006,gms
13160001,network
13160002,gms
13160004,gms
13160005,gms
13170007,network
13170008,network
13170010,network
13170011,gms
13170013,network
13180002,gms
13190001,network
13200006,gms
13200009,gms
13200013,network
13200014,network
13200015,network
13200016,gms
13200019,network
13200020,gms
13210002,gms
13210004,network
13220003,gms
13220004,gms
13230001,gms
13230002,gms
13230004,network
13240002,network
13260002,network
13270004,network
13270005,gms
13270011,gms
13270012,gms
13270014,network
13300001,network
13300002,network
13300005,gms
13300008,gms
13300009,network
13300010,gms
13300011,gms
13310001,gms
13310002,gms
13320004,network
13320009,network
13320010,gms
13320012,network
13320013,network
13330001,gms
13340001,gms
13340004,network
13340005,network
13340006,gms
13360001,gms
13370003,gms
13370005,network
13370006,gms
13380002,network
13390002,gms
13400001,gms
13400002,network
13400003,network
13400007,network
13400014,network
13400015,network
13400017,gms
13400018,network
13410004,gms
13410005,gms
13420001,network
13430001,gms
13430002,network
13440002,gms
13440005,network
13450001,gms
13460001,network
13460003,network
13463001,gms
13470001,gms
13480001,network
13480002,gms
13500001,gms
13500005,network
13500006,gms
13500011,network
13500012,gms
13500014,network
13510001,network
13520001,network
13530001,gms
13530003,gms
13545001,gms
13550001,network
13560002,network
13560003,network
13560004,gms
13560005,network
13570001,gms
13580002,gms
13580003,network
13590003,network
13590004,gms
13600005,gms
13600015,gms
13600023,gms
13600024,network
13600026,network
13610001,network
13620002,network
13620004,network
13626002,gms
13630003,network
13630004,gms
13650002,network
13660002,network
13660005,gms
13670001,network
13680004,gms
13680010,gms
13700005,gms
13700007,gms
13700010,network
13700011,gms
13700013,network
13710001,network
13710002,network
13710004,gms
13710005,gms
13730001,gms
13740001,network
13740003,gms
13741001,gms
13750003,network
13750004,network
13750005,network
13750006,gms
13751002,gms
13770002,gms
13770004,network
13780009,gms
13800004,gms
13800009,network
13800010,network
13800011,gms
13850001,gms
13860001,network
13870001,gms
13870002,network
13880001,gms
13880002,gms
13890000,network
13910001,gms
13920005,network
13920010,network
13990002,network
